Residential property sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 8 April 2025],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of sales:,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
row,Sep-96,Sep-97,Sep-98,Sep-99,Sep-00,Sep-01,Sep-02,Sep-03,Sep-04,Sep-05,Sep-06,Sep-07,Sep-08,Sep-09,Sep-10,Sep-11,Sep-12,Sep-13,Sep-14,Sep-15,Sep-16,Sep-17,Sep-18,Sep-19,Sep-20,Sep-21,Sep-22,Sep-23,Area,mnemonic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,850013,1047268,1016037,1084672,1130983,1133620,1271168,1153345,1264229,976245,1203858,1279204,778905,516601,664802,620124,640511,698594,877425,854379,903005,852771,829715,803012,669410,1081660,787290,573646,country:England,E92000001
2,35342,41140,42004,42843,47377,50652,58936,59345,62538,48810,57792,63552,39316,22379,26412,26251,26294,28306,34825,35465,37559,38233,38460,37804,31880,48753,40084,29480,gor:North East,E12000001
3,101839,119092,120366,126127,139255,140811,164994,164201,175974,133307,155751,168111,102710,60167,74182,70665,70494,78060,100085,103093,113178,113337,112525,111024,91817,138590,106896,77345,gor:North West,E12000002
4,75741,89659,87260,93712,102683,107147,124477,119441,126516,100091,119791,126761,78351,48888,58200,54268,56026,61790,78422,77567,83851,83395,83436,83080,67750,103808,79434,58580,gor:Yorkshire and The Humber,E12000003
5,71310,86512,84548,92227,99670,101078,114910,103115,110916,84167,103471,109964,67769,45809,57035,53493,54645,60277,77824,76098,83909,80158,79206,76901,62636,97528,73822,51250,gor:East Midlands,E12000004
6,79096,94530,91081,97849,105136,103854,119378,109385,118189,92820,111697,117442,73037,46471,57625,55091,57148,61893,79291,78720,87077,84806,84303,82510,66690,101486,76048,55403,gor:West Midlands,E12000005
7,104876,132027,126519,135839,138493,138454,150090,131561,146738,113341,141963,150829,90762,64439,84710,79112,81497,88572,111974,107389,112654,102695,98748,94988,79692,135767,95046,66355,gor:East,E12000006
8,122588,157769,151192,162391,163991,159354,175203,151546,169945,133340,165785,176383,105351,64210,95721,89718,94115,103379,122167,111668,109562,94678,87911,83921,72803,121782,86575,66164,gor:London,E12000007
9,162158,203265,193332,204526,204136,201927,224081,193288,218217,167794,214453,226472,137785,99636,129297,117839,123602,133782,167462,160625,165423,150962,144492,137469,117219,203055,139242,101395,gor:South East,E12000008
10,97063,123274,119735,129158,130242,130343,139099,121463,135196,102575,133155,139690,83824,64602,81620,73687,76690,82535,105375,103754,109792,104507,100634,95315,78923,130891,90143,67674,gor:South West,E12000009
11,38448,47436,45376,46519,54939,56772,66949,62842,63846,46368,56519,61649,38915,26241,31726,30453,30624,33736,42305,42103,45957,47166,47437,46670,35286,54311,46569,32991,gor:Wales,W92000004
12,1159,1390,1405,1440,1726,2140,2359,2488,2979,2123,2285,2290,1469,747,916,878,888,919,1113,1205,1273,1209,1304,1235,1050,1729,1490,1103,ladu2023:Hartlepool,E06000001
13,1776,1934,1948,2055,2280,2462,2826,3016,3339,2817,3139,3514,2188,1050,1333,1277,1305,1271,1556,1748,1822,1749,1819,1828,1528,2316,2035,1298,ladu2023:Middlesbrough,E06000002
14,1879,2000,1957,1986,2266,2582,3497,3390,3138,2406,2945,3376,1837,1195,1288,1420,1379,1418,1918,1773,1824,1947,2007,1967,1636,2539,2081,1667,ladu2023:Redcar and Cleveland,E06000003
15,2670,3331,3305,3291,3978,4168,5320,4610,4471,3293,4341,4901,3080,1928,2288,2231,2265,2390,2724,2685,2922,2959,3090,3066,2523,3826,3063,2186,ladu2023:Stockton-on-Tees,E06000004
16,1828,2178,2095,2179,2538,2770,3033,2926,3288,2287,2771,3033,1887,1009,1224,1099,1179,1294,1589,1705,1679,1642,1602,1616,1501,2435,1885,1339,ladu2023:Darlington,E06000005
17,7008,7890,8267,8134,8802,9579,11461,11793,12493,9819,11785,13578,8648,4597,5368,5281,5055,5542,6832,6933,7618,7816,7917,7789,6459,10009,8389,6272,ladu2023:County Durham,E06000047
18,4655,5568,5510,5686,6370,6705,7456,7317,7442,5393,6831,7586,4785,2808,3491,3436,3453,3677,4644,4756,5334,5459,5498,5378,4595,7061,5585,4014,ladu2023:Northumberland,E06000057
19,3606,4666,4606,4587,4884,5371,5983,5825,6071,5111,6070,5800,3615,2469,2698,2603,2568,2784,3579,3754,3885,3911,3676,3612,3206,4886,4029,2890,ladu2023:Newcastle upon Tyne,E08000021
20,3270,3895,4013,4307,4697,4714,4947,5193,5307,4235,5171,5503,3398,1837,2425,2435,2543,2812,3349,3479,3464,3615,3722,3495,2834,4160,3089,2605,ladu2023:North Tyneside,E08000022
21,1711,1902,1979,1859,2168,2241,2672,2690,2946,2302,2815,3260,2037,1087,1249,1291,1353,1404,1709,1814,1835,1813,1754,1818,1477,2235,1860,1361,ladu2023:South Tyneside,E08000023
22,3211,3613,3910,4204,4470,4478,5304,5680,6259,4964,5356,5724,3622,2055,2171,2408,2319,2539,3175,3105,3281,3455,3427,3489,2901,4351,3787,2644,ladu2023:Sunderland,E08000024
23,2569,2773,3009,3115,3198,3442,4078,4417,4805,4060,4283,4987,2750,1597,1961,1892,1987,2256,2637,2508,2622,2658,2644,2511,2170,3206,2791,2101,ladu2023:Gateshead,E08000037
